index,label
0,0.00034734828
1,0.00043547613
2,0.99955016
3,0.99955565
4,0.99954224
5,0.00034734828
6,0.99835455
7,0.0003759488
8,0.99955565
9,0.00034734828
10,0.000363627
11,0.99955565
12,0.00034734694
13,0.00041978352
14,0.00034734828
15,0.9995427
16,0.00034734828
17,0.00038556047
18,0.0003495662
19,0.99955505
20,0.99923456
21,0.9995265
22,0.99955565
23,0.00035341954
24,0.99955565
25,0.00034734828
26,0.9993247
27,0.99955183
28,0.9995289
29,0.99955565
30,0.999527
31,0.99955565
32,0.99955565
33,0.99955565
34,0.99955565
35,0.99955565
36,0.99955565
37,0.0003524727
38,0.99955565
39,0.99955565
40,0.99953496
41,0.0005209687
42,0.99955565
43,0.99955565
44,0.9995315
45,0.00035786422
46,0.99955565
47,0.00038327408
48,0.00034734828
49,0.99954224
50,0.99952424
51,0.00034734828
52,0.00034761563
53,0.004005103
54,0.00058504066
55,0.0003523358
56,0.00035786422
57,0.00035786422
58,0.00034734694
59,0.99937147
60,0.0003474932
61,0.00035993027
62,0.0013799242
63,0.00039809715
64,0.0004869646
65,0.99955565
66,0.00034734828
67,0.99955565
68,0.00034734694
69,0.9995552
70,0.0003599289
71,0.00034734828
72,0.00034734828
73,0.99955505
74,0.99955565
75,0.999527
76,0.0003495662
77,0.00034734828
78,0.00041238297
79,0.99952924
80,0.00034734828
81,0.00047295136
82,0.00035809903
83,0.9995315
84,0.00034734828
85,0.9995552
86,0.00035782365
87,0.99955505
88,0.00035251153
89,0.9995315
90,0.99947304
91,0.000480414
92,0.00035792377
93,0.9995554
94,0.00034734828
95,0.00034734828
96,0.0003479457
97,0.00036867414
98,0.0003495662
99,0.99955505
100,0.00038797586
101,0.00036020728
102,0.0014764266
103,0.9995474
104,0.00034734828
105,0.99955016
106,0.9995346
107,0.0013373105
108,0.00034809086
109,0.99938357
110,0.00034734694
111,0.00034734828
112,0.00034734828
113,0.00035278284
114,0.99955565
115,0.00042345666
116,0.00057296146
117,0.00034734828
118,0.99955434
119,0.0003521021
120,0.00034734828
121,0.9993844
122,0.0005061769
123,0.00034734828
124,0.99955565
125,0.99953806
126,0.9995234
127,0.9995554
128,0.99955565
129,0.00035901373
130,0.9991629
131,0.0003495662
132,0.00034734828
133,0.0003665967
134,0.99954224
135,0.0003521021
136,0.99955565
137,0.0005216694
138,0.99955565
139,0.00036345076
140,0.00034734828
141,0.99955314
142,0.9995554
143,0.0003524727
144,0.9995315
145,0.00040755136
146,0.0003474932
147,0.00034734694
148,0.00087264524
149,0.9993032
150,0.9995005
151,0.9991242
152,0.99955565
153,0.99954224
154,0.9995247
155,0.00034734828
156,0.00048359268
157,0.00034761563
158,0.00038930387
159,0.99955565
160,0.99955565
161,0.0003474932
162,0.00037877166
163,0.00035809763
164,0.99954635
165,0.9995247
166,0.00044172702
