iter	Logloss
0	0.4999880738
1	0.3439596899
2	0.2446276655
3	0.1723031842
4	0.126093109
5	0.08975401629
6	0.06553101953
7	0.0458249633
8	0.03239644206
9	0.02306447812
10	0.01669189094
11	0.01272094866
12	0.009547688684
13	0.007308921461
14	0.005736404824
15	0.004495053093
16	0.003590448329
17	0.002919003951
18	0.002415291372
19	0.002016806641
20	0.001699045314
21	0.001454137035
22	0.001248624343
23	0.001090015168
24	0.0009534033934
25	0.0008352202336
26	0.0007330249708
27	0.0006482937896
28	0.000577128789
29	0.0005179988108
30	0.0004699980397
31	0.000424644331
32	0.0003893085458
33	0.0003555228103
34	0.0003252383667
35	0.0003072355367
36	0.0002833448745
37	0.0002624308907
38	0.0002455370954
39	0.0002337408829
40	0.000220790186
41	0.0002089852409
42	0.0001990488185
43	0.000187271179
44	0.0001768523242
45	0.0001768523242
46	0.0001768523242
47	0.000167858099
48	0.0001600542895
49	0.0001600542895
50	0.000151911135
51	0.000151911135
